date,product,category,unit_price,quantity_sold,revenue
2023-01-01,Indomie Noodles,Food,150,6,900
2023-01-01,Golden Morn,Food,800,3,2400
2023-01-01,Milo Sachet,Beverages,100,8,800
2023-01-01,Peak Milk Tin,Food,3500,1,3500
2023-01-01,Coca Cola 60cl,Beverages,300,6,1800
2023-01-01,Malta Guinness,Beverages,350,2,700
2023-01-01,Omo Detergent,Toiletries,400,4,1600
2023-01-01,Dettol Soap,Toiletries,600,1,600
2023-01-01,Titus Sardine,Food,900,1,900
2023-01-01,Dangote Sugar 1kg,Food,1200,3,3600
2023-01-01,Honeywell Flour,Food,2500,1,2500
2023-01-01,Bigi Cola 60cl,Beverages,200,7,1400
2023-01-01,Nescafe Sachet,Beverages,150,1,150
2023-01-01,Maggi Cubes,Food,50,10,500
2023-01-01,Ribena Juice,Beverages,250,3,750
2023-01-01,Cowbell Sachet,Beverages,100,5,500
2023-01-02,Indomie Noodles,Food,150,22,3300
2023-01-02,Golden Morn,Food,800,4,3200
2023-01-02,Milo Sachet,Beverages,100,27,2700
2023-01-02,Peak Milk Tin,Food,3500,1,3500
2023-01-02,Coca Cola 60cl,Beverages,300,12,3600
2023-01-02,Malta Guinness,Beverages,350,13,4550
2023-01-02,Close Up Toothpaste,Toiletries,500,4,2000
2023-01-02,Omo Detergent,Toiletries,400,5,2000
2023-01-02,Dettol Soap,Toiletries,600,1,600
2023-01-02,Vaseline Jelly,Toiletries,700,2,1400
2023-01-02,Titus Sardine,Food,900,5,4500
2023-01-02,Dangote Sugar 1kg,Food,1200,12,14400
2023-01-02,Honeywell Flour,Food,2500,1,2500
2023-01-02,Bigi Cola 60cl,Beverages,200,12,2400
2023-01-02,Always Pads,Toiletries,800,1,800
2023-01-02,Nescafe Sachet,Beverages,150,8,1200
2023-01-02,Maggi Cubes,Food,50,26,1300
2023-01-02,Ribena Juice,Beverages,250,5,1250
2023-01-02,Morning Fresh,Toiletries,1200,2,2400
2023-01-02,Cowbell Sachet,Beverages,100,13,1300
2023-01-03,Indomie Noodles,Food,150,14,2100
2023-01-03,Golden Morn,Food,800,8,6400
2023-01-03,Milo Sachet,Beverages,100,23,2300
2023-01-03,Coca Cola 60cl,Beverages,300,18,5400
2023-01-03,Malta Guinness,Beverages,350,7,2450
2023-01-03,Close Up Toothpaste,Toiletries,500,2,1000
2023-01-03,Omo Detergent,Toiletries,400,5,2000
2023-01-03,Dettol Soap,Toiletries,600,2,1200
2023-01-03,Titus Sardine,Food,900,7,6300
2023-01-03,Dangote Sugar 1kg,Food,1200,11,13200
2023-01-03,Honeywell Flour,Food,2500,3,7500
2023-01-03,Bigi Cola 60cl,Beverages,200,7,1400
2023-01-03,Nescafe Sachet,Beverages,150,10,1500
2023-01-03,Maggi Cubes,Food,50,30,1500
2023-01-03,Ribena Juice,Beverages,250,5,1250
2023-01-03,Morning Fresh,Toiletries,1200,5,6000
2023-01-03,Cowbell Sachet,Beverages,100,11,1100
2023-01-04,Indomie Noodles,Food,150,15,2250
2023-01-04,Golden Morn,Food,800,6,4800
2023-01-04,Milo Sachet,Beverages,100,29,2900
2023-01-04,Peak Milk Tin,Food,3500,4,14000
2023-01-04,Coca Cola 60cl,Beverages,300,19,5700
2023-01-04,Malta Guinness,Beverages,350,7,2450
2023-01-04,Close Up Toothpaste,Toiletries,500,4,2000
2023-01-04,Omo Detergent,Toiletries,400,8,3200
2023-01-04,Dettol Soap,Toiletries,600,8,4800
2023-01-04,Vaseline Jelly,Toiletries,700,3,2100
2023-01-04,Titus Sardine,Food,900,2,1800
2023-01-04,Dangote Sugar 1kg,Food,1200,5,6000
2023-01-04,Honeywell Flour,Food,2500,2,5000
2023-01-04,Bigi Cola 60cl,Beverages,200,13,2600
2023-01-04,Always Pads,Toiletries,800,2,1600
2023-01-04,Nescafe Sachet,Beverages,150,10,1500
2023-01-04,Maggi Cubes,Food,50,19,950
2023-01-04,Ribena Juice,Beverages,250,7,1750
2023-01-04,Morning Fresh,Toiletries,1200,4,4800
2023-01-04,Cowbell Sachet,Beverages,100,16,1600
2023-01-05,Indomie Noodles,Food,150,16,2400
2023-01-05,Golden Morn,Food,800,3,2400
2023-01-05,Milo Sachet,Beverages,100,10,1000
2023-01-05,Peak Milk Tin,Food,3500,3,10500
